rank,gender,age,follows,region,listen_count
8,Female,,73,青海省 - 海东地区,7380
7,Male,,11,北京市 ,2105
8,Female,,29,,4537
5,Male,21,1,香港 ,396
5,Male,,61,江苏省 - 无锡市,360
9,Male,26,261,青海省 - 西宁市,9110
8,Female,,215,,3506
6,Female,,15,贵州省 - 贵阳市,470
6,Male,,14,河北省 - 石家庄市,687
8,Male,22,32,辽宁省 - 辽阳市,4348
8,Male,26,179,内蒙古 - 锡林郭勒盟,6067
8,Female,,47,,4551
8,Male,19,70,山东省 - 淄博市,3810
7,Male,19,22,山东省 - 济南市,2195
8,Male,26,139,安徽省 - 芜湖市,7357
9,Male,30,126,天津市 ,13989
6,Male,,87,北京市 ,690
8,Male,24,12,海外 - 冰岛,4073
5,Female,,31,,204
6,Female,,12,,541
7,Female,25,60,四川省 - 成都市,1748
6,Female,,13,河北省 - 沧州市,736
7,Female,,35,天津市 ,2203
7,Male,,48,,1309
8,Female,22,134,广东省 - 深圳市,7222
6,Male,18,0,江西省 - 九江市,708
9,Male,27,132,广东省 - 广州市,11673
8,Male,23,39,江西省 - 宜春市,3441
7,Male,21,56,新疆 - 阿克苏地区,1084
5,Female,20,11,江西省 - 赣州市,214
7,Female,19,90,陕西省 - 西安市,2703
8,Male,22,50,山东省 - 济宁市,4589
7,Female,,57,江苏省 - 苏州市,2249
5,Male,24,6,海外 - 老挝,375
5,Female,,16,河南省 - 郑州市,331
7,Male,24,16,广东省 - 惠州市,1134
9,Male,23,155,陕西省 - 西安市,8420
5,Female,,14,山东省 - 济南市,268
8,Female,28,29,上海市 ,3679
8,Male,26,8,福建省 - 厦门市,5598
8,Female,23,150,西藏 - 日喀则地区,5540
8,Male,19,31,江苏省 - 南京市,7761
7,Male,,57,广东省 - 广州市,1617
6,Female,26,3,北京市 ,746
7,Male,19,130,湖北省 - 武汉市,1064
8,Male,,63,,4673
7,Female,,47,,1453
7,Male,20,65,山西省 - 晋城市,2484
7,Male,,28,,1386
7,Female,31,17,北京市 ,2954
6,Female,,4,浙江省 - 绍兴市,853
8,Female,20,121,山东省 - 潍坊市,3563
7,Male,17,9,湖南省 - 衡阳市,1522
7,Male,,62,江西省 - 南昌市,2490
7,Female,28,4,北京市 ,1021
9,Male,29,37,江苏省 - 南京市,14030
7,Female,,16,山东省 - 日照市,2631
7,Male,,20,,1783
7,Female,,31,浙江省 - 杭州市,1499
6,Male,,1,福建省 - 厦门市,553
7,Male,28,15,四川省 - 成都市,1746
8,Male,57,52,海外 - 捷克,4604
6,Female,18,60,山东省 - 济南市,842
7,Male,30,47,云南省 - 昆明市,1656
7,Female,,302,,2312
7,Female,24,18,甘肃省 - 兰州市,1102
7,Female,22,20,江苏省 - 苏州市,1118
7,Male,,20,山西省 - 太原市,2455
7,Male,26,24,上海市 ,2077
8,Male,23,281,黑龙江省 - 绥化市,6593
6,Female,,15,河南省 - 开封市,937
6,Female,,117,江西省 - 赣州市,410
6,Female,,17,江苏省 - 南通市,400
6,Female,25,8,辽宁省 - 大连市,817
8,Male,,60,江苏省 - 常州市,3274
7,Female,,41,,1158
7,Male,32,117,浙江省 - 宁波市,1016
6,Male,,7,河南省 - 开封市,525
7,Male,27,8,浙江省 - 金华市,1297
9,Female,,91,,8174
7,Female,19,54,云南省 - 昆明市,2496
6,Female,,21,内蒙古 - 呼和浩特市,930
7,Female,,9,,2352
7,Female,24,35,陕西省 - 西安市,1739
8,Male,98,270,安徽省 - 合肥市,5675
7,Male,31,119,山东省 - 潍坊市,1442
6,Female,,4,北京市 ,691
7,Male,,8,,1445
8,Male,22,111,河北省 - 秦皇岛市,3191
9,Male,24,196,江苏省 - 南京市,8266
7,Male,,31,上海市 ,2150
6,Male,,17,湖南省 - 长沙市,400
8,Female,,142,,5937
6,Male,20,14,内蒙古 - 鄂尔多斯市,545
7,Female,,71,四川省 - 成都市,1505
6,Male,24,13,四川省 - 成都市,974
8,Male,28,269,湖北省 - 武汉市,3379
7,Male,20,25,北京市 ,2439
8,Male,28,84,山东省 - 烟台市,3566
9,Male,28,87,广东省 - 广州市,12283
7,Male,,0,上海市 ,2129
9,Male,,34,,12332
6,Male,,17,广东省 - 广州市,951
7,Male,28,197,海外 - 爱尔兰,1499
9,Female,,296,,12744
7,Male,20,12,江苏省 - 徐州市,1382
5,Male,21,36,安徽省 - 芜湖市,243
7,Male,17,110,宁夏 - 吴忠市,1549
7,Female,14,109,上海市 ,2842
7,Female,3,161,江苏省 - 扬州市,1544
7,Female,22,30,重庆市 ,2877
7,Male,,84,内蒙古 - 乌海市,1979
7,Male,,42,河南省 - 开封市,1948
7,Male,22,17,河北省 - 石家庄市,1374
8,Female,,2,,3941
6,Male,,167,,755
8,Male,,55,海外 - 阿尔及利亚,6075
9,Male,18,73,湖南省 - 永州市,8061
7,Male,28,24,河南省 - 郑州市,1011
6,Male,,17,北京市 ,572
8,Male,28,482,北京市 ,6100
7,Male,22,99,四川省 - 成都市,2890
6,Male,28,105,山东省 - 青岛市,932
8,Male,20,295,江苏省 - 徐州市,5718
7,Female,21,112,河南省 - 南阳市,1620
8,Female,,4,安徽省 - 合肥市,3739
8,Female,,6,北京市 ,7457
8,Male,,38,湖北省 - 武汉市,4159
6,Male,24,561,安徽省 - 安庆市,427
7,Male,,7,河北省 - 石家庄市,1878
4,Female,,7,贵州省 - 贵阳市,158
7,Female,,19,浙江省 - 嘉兴市,1216
6,Female,20,5,黑龙江省 - 鸡西市,444
8,Male,,70,,4077
7,Female,,153,,2249
7,Male,21,29,陕西省 - 西安市,2188
7,Male,26,36,吉林省 - 长春市,1474
7,Male,,22,,1104
6,Female,,57,,929
8,Female,,135,,4109
7,Female,,5,河南省 - 郑州市,8098
7,Female,,66,重庆市 ,1261
8,Male,28,145,河北省 - 石家庄市,6835
6,Male,,74,江苏省 - 南京市,838
7,Male,20,51,甘肃省 - 兰州市,1264
6,Male,28,3,河北省 - 承德市,741
8,Female,,51,,4164
10,Male,22,273,广东省 - 广州市,22013
7,Female,23,26,北京市 ,1872
6,Male,,8,湖北省 - 武汉市,1270
9,Male,28,132,新疆 - 阿克苏地区,11830
7,Male,,11,新疆 - 乌鲁木齐市,1235
8,Male,20,220,江苏省 - 无锡市,4918
7,Female,,4,陕西省 - 西安市,1116
5,Male,19,15,浙江省 - 金华市,329
7,Male,21,114,安徽省 - 安庆市,1899
7,Female,,31,,2775
7,Male,21,29,辽宁省 - 辽阳市,1115
5,Male,,14,山西省 - 晋城市,1748
4,Male,,7,江西省 - 景德镇市,154
7,Male,29,12,河南省 - 信阳市,2163
6,Female,,70,,551
6,Male,20,39,浙江省 - 杭州市,510
7,Male,22,55,浙江省 - 台州市,2943
8,Male,20,70,广西 - 南宁市,4630
6,Male,,6,陕西省 - 西安市,512
6,Male,20,31,湖北省 - 武汉市,936
8,Female,26,20,重庆市 ,6760
3,Male,22,0,北京市 ,127
8,Male,28,157,山西省 - 临汾市,6759
7,Female,20,42,山东省 - 济南市,1324
7,Male,23,42,北京市 ,1831
7,Male,,3,湖北省 - 武汉市,1544
10,Male,27,8580,北京市 ,20385
7,Female,24,54,湖北省 - 武汉市,2643
8,Male,22,126,云南省 - 昆明市,5343
7,Female,,31,广东省 - 广州市,2041
8,Male,,215,四川省 - 成都市,3545
6,Male,20,17,云南省 - 昆明市,725
7,Male,18,24,山东省 - 日照市,1858
6,Female,,18,河北省 - 邯郸市,609
7,Male,,5,江苏省 - 苏州市,2778
7,Female,19,87,天津市 ,2936
8,Female,,94,,4988
6,Male,51,14,陕西省 - 汉中市,537
7,Male,32,102,四川省 - 成都市,2321
7,Male,19,63,山东省 - 菏泽市,1496
7,Male,21,34,海外 - 哥伦比亚,2963
6,Male,,38,河北省 - 秦皇岛市,941
8,Male,,40,,3529
5,Male,,6,天津市 ,306
6,Male,,6,河北省 - 保定市,834
7,Male,,35,,2381
8,Male,17,43,山东省 - 临沂市,4175
7,Male,23,95,辽宁省 - 沈阳市,2822
6,Male,,11,江苏省 - 南京市,3478
9,Female,98,730,四川省 - 德阳市,17672
6,Female,,10,北京市 ,428
7,Female,22,36,甘肃省 - 定西市,1280
5,Female,,8,江苏省 - 南京市,230
9,Male,29,160,河南省 - 郑州市,8696
7,Female,20,20,河北省 - 张家口市,2370
9,Male,23,95,广东省 - 深圳市,12432
9,Male,23,296,山东省 - 济宁市,11318
8,Male,19,104,北京市 ,5961
6,Female,,10,山东省 - 青岛市,931
7,Female,,10,甘肃省 - 兰州市,1106
7,Male,20,27,安徽省 - 安庆市,2943
8,Male,19,415,海外 - 日本,3632
8,Male,,59,山东省 - 青岛市,6723
9,Male,28,409,江苏省 - 苏州市,17533
6,Female,,5,辽宁省 - 沈阳市,643
7,Female,,2,江苏省 - 南京市,1749
9,Male,26,126,云南省 - 保山市,8104
9,Female,,74,重庆市 ,9767
8,Female,27,398,河南省 - 郑州市,5070
8,Female,,30,,6801
7,Female,35,19,广东省 - 深圳市,2362
8,Male,25,25,广东省 - 揭阳市,3488
6,Female,,10,江西省 - 九江市,752
8,Male,25,51,北京市 ,3408
7,Female,,134,上海市 ,2349
8,Male,25,109,河北省 - 邢台市,7163
6,Male,24,2,四川省 - 自贡市,645
8,Female,21,42,安徽省 - 合肥市,4684
7,Male,,148,广东省 - 深圳市,2138
6,Female,17,61,吉林省 - 松原市,798
9,Female,28,146,新疆 - 乌鲁木齐市,8857
7,Female,,57,广东省 - 汕尾市,2136
9,Male,23,79,江苏省 - 南京市,10286
8,Female,20,320,浙江省 - 杭州市,7101
6,Female,28,23,黑龙江省 - 佳木斯市,648
7,Male,23,53,山西省 - 太原市,1837
5,Female,,23,陕西省 - 西安市,428
7,Female,,10,云南省 - 昆明市,2850
7,Male,,1,湖北省 - 黄石市,1922
8,Male,22,140,陕西省 - 西安市,4990
6,Female,17,7,四川省 - 遂宁市,480
7,Male,28,9,河北省 - 唐山市,2243
6,Male,,8,海外 - 马尔代夫,928
8,Female,22,126,江苏省 - 苏州市,6007
7,Male,20,15,香港 ,2496
8,Male,18,120,安徽省 - 淮北市,3538
7,Male,,7,四川省 - 泸州市,2239
8,Male,,241,,3133
8,Female,23,57,山东省 - 潍坊市,4550
8,Male,26,96,上海市 ,3661
6,Female,21,25,江苏省 - 南京市,667
8,Male,25,661,北京市 ,3602
8,Male,25,61,浙江省 - 台州市,6644
7,Female,,75,四川省 - 成都市,1725
9,Female,17,365,海外 - 挪威,15911
8,Male,22,69,浙江省 - 宁波市,4279
3,Male,,4,北京市 ,95
6,Male,22,0,北京市 ,759
5,Female,,12,山西省 - 太原市,249
6,Male,,6,山东省 - 济南市,548
7,Female,21,26,海外 - 挪威,1216
8,Female,,17,江苏省 - 南京市,6614
8,Male,24,12,湖南省 - 长沙市,4144
8,Female,19,19,北京市 ,4798
8,Male,,29,江西省 - 南昌市,4938
7,Female,,33,,2111
7,Female,,31,云南省 - 丽江市,2346
6,Male,,8,贵州省 - 遵义市,530
4,Female,18,10,云南省 - 玉溪市,173
7,Male,28,33,湖北省 - 武汉市,1122
8,Female,,6,河南省 - 郑州市,3231
7,Male,23,7,湖北省 - 襄樊市,2583
7,Male,24,22,重庆市 ,2930
5,Male,20,6,贵州省 - 遵义市,338
6,Female,,150,辽宁省 - 沈阳市,888
7,Female,,66,河南省 - 郑州市,1044
7,Male,25,8,贵州省 - 铜仁地区,1449
7,Male,,83,新疆 - 乌鲁木齐市,2477
3,Male,26,6,浙江省 - 杭州市,109
7,Female,,51,山东省 - 德州市,2010
8,Female,,15,,3227
8,Male,28,71,山东省 - 泰安市,3508
7,Female,33,4,河南省 - 郑州市,2988
8,Male,,49,浙江省 - 杭州市,6036
7,Male,28,24,安徽省 - 合肥市,2247
8,Male,24,172,河南省 - 洛阳市,3706
7,Female,,72,内蒙古 - 阿拉善盟,1964
8,Male,27,223,山东省 - 滨州市,5656
10,Male,52,80,黑龙江省 - 哈尔滨市,25119
7,Male,28,0,广西 - 钦州市,1840
7,Male,21,35,河北省 - 石家庄市,1266
8,Male,22,240,陕西省 - 西安市,6710
7,Male,,126,,1476
8,Male,22,4,湖南省 - 岳阳市,3032
7,Male,20,64,河北省 - 承德市,2963
7,Male,15,29,重庆市 ,1324
8,Male,,94,,3005
7,Male,17,44,黑龙江省 - 佳木斯市,1143
7,Female,,30,,2887
6,Male,21,4,山东省 - 临沂市,511
8,Male,25,284,北京市 ,3080
7,Male,,48,河南省 - 郑州市,1951
8,Male,,42,北京市 ,3721
8,Female,,30,,3411
9,Male,24,25,安徽省 - 合肥市,10529
7,Female,19,31,湖南省 - 长沙市,1135
1,Female,28,12,江苏省 - 盐城市,21
7,Female,19,262,江苏省 - 连云港市,1672
6,Male,16,68,山东省 - 菏泽市,635
7,Female,,77,,1651
8,Female,,83,,3403
8,Male,,127,,5504
10,Male,25,158,四川省 - 成都市,20643
7,Female,,90,,1466
8,Female,,41,甘肃省 - 兰州市,4009
6,Female,,19,,953
8,Male,23,104,山东省 - 济南市,3438
7,Male,22,80,青海省 - 果洛藏族自治州,2293
8,Female,27,6,新疆 - 阿克苏地区,4768
5,Male,,0,河北省 - 邯郸市,221
7,Female,,8,内蒙古 - 呼和浩特市,1000
9,Male,,213,,11955
7,Female,,85,北京市 ,1638
7,Male,20,14,安徽省 - 宿州市,1037
5,Male,,20,湖北省 - 十堰市,385
7,Male,20,39,浙江省 - 丽水市,1432
6,Male,25,18,广东省 - 深圳市,412
5,Female,,17,黑龙江省 - 哈尔滨市,223
6,Male,,25,,787
8,Male,23,71,安徽省 - 宣城市,3105
5,Male,,4,广东省 - 深圳市,296
7,Female,,97,新疆 - 乌鲁木齐市,1467
7,Male,25,34,北京市 ,1150
8,Male,29,25,北京市 ,6048
9,Female,21,97,浙江省 - 宁波市,10767
1,Female,19,0,山东省 - 济南市,23
9,Male,,47,,8202
7,Male,,10,河南省 - 商丘市,1074
7,Male,,162,,2487
7,Female,1,112,海外 - 日本,2433
8,Female,1,24,北京市 ,4783
7,Male,23,17,天津市 ,1236
1,Female,,8,北京市 ,20
8,Female,,33,,3544
5,Female,,7,河北省 - 石家庄市,348
5,Male,18,19,吉林省 - 辽源市,299
7,Male,21,11,安徽省 - 滁州市,1823
7,Male,21,46,河北省 - 保定市,1667
7,Female,26,41,广西 - 桂林市,2411
5,Male,21,58,安徽省 - 合肥市,242
8,Male,24,88,浙江省 - 宁波市,5980
7,Male,,22,天津市 ,2544
8,Male,27,42,陕西省 - 西安市,6569
3,Female,,8,天津市 ,86
7,Male,,50,,1893
6,Male,,24,河南省 - 开封市,973
8,Male,,43,,6657
8,Female,25,197,北京市 ,7030
7,Female,99,9,北京市 ,1981
7,Male,,16,北京市 ,2925
6,Male,33,31,江苏省 - 南京市,909
8,Male,37,75,天津市 ,5475
6,Male,22,132,山东省 - 青岛市,700
7,Male,28,42,广西 - 柳州市,1002
9,Female,,40,,8262
8,Male,,74,,5227
7,Male,21,8,山东省 - 济宁市,2988
7,Female,24,16,河南省 - 郑州市,1470
7,Male,,37,海外 - 美国,2356
4,Male,25,11,福建省 - 福州市,177
7,Female,18,71,北京市 ,1669
7,Female,,63,,1546
8,Male,25,26,重庆市 ,6510
6,Male,,57,安徽省 - 亳州市,450
7,Male,,92,河北省 - 保定市,1701
6,Female,,24,上海市 ,875
8,Male,28,23,江苏省 - 南京市,3434
8,Male,21,1,辽宁省 - 锦州市,3143
7,Male,,4,,2474
8,Male,5,6,天津市 ,7701
7,Female,,18,江苏省 - 宿迁市,2585
7,Female,15,5,安徽省 - 蚌埠市,1650
6,Male,28,56,江苏省 - 南京市,639
8,Female,,52,山东省 - 青岛市,3248
7,Male,27,0,陕西省 - 西安市,2046
8,Male,21,72,山东省 - 临沂市,6916
7,Female,19,30,广东省 - 汕头市,2170
5,Female,,11,内蒙古 - 呼和浩特市,332
7,Female,,3,,2469
6,Female,,0,海外 - 其它,511
7,Female,,35,,1055
4,Male,,6,河南省 - 郑州市,154
8,Female,28,68,海外 - 阿尔及利亚,6283
7,Male,,72,重庆市 ,2623
7,Female,23,180,河北省 - 唐山市,1711
7,Male,22,201,江苏省 - 徐州市,1237
8,Male,22,158,安徽省 - 黄山市,3692
7,Female,21,43,四川省 - 成都市,1415
6,Female,,9,河南省 - 洛阳市,685
7,Female,18,98,江苏省 - 常州市,1722
6,Female,29,9,北京市 ,604
7,Male,21,146,海外 - 其它,2411
7,Male,21,104,山东省 - 济南市,2167
7,Female,24,42,河南省 - 平顶山市,1939
7,Male,21,18,海外 - 挪威,1794
8,Female,20,86,安徽省 - 芜湖市,5573
7,Female,,10,浙江省 - 杭州市,2303
5,Female,,13,广东省 - 深圳市,954
6,Male,20,3,湖南省 - 长沙市,676
8,Male,24,127,陕西省 - 榆林市,5608
8,Male,25,35,贵州省 - 贵阳市,6369
8,Male,,41,,4345
8,Male,21,251,山东省 - 东营市,4939
7,Male,,19,,2301
8,Female,,85,,4643
7,Male,20,30,河南省 - 商丘市,2935
9,Male,22,102,重庆市 ,12313
7,Male,,16,江苏省 - 南京市,2551
7,Male,17,22,河南省 - 漯河市,1009
8,Male,,221,,3395
6,Male,18,22,广东省 - 汕头市,811
7,Male,26,58,安徽省 - 合肥市,2123
8,Male,,18,海外 - 阿联酋,3460
7,Female,,11,北京市 ,1941
7,Male,29,12,四川省 - 宜宾市,2791
8,Female,21,9,上海市 ,5821
7,Female,22,95,海外 - 澳大利亚,2024
8,Male,23,10,河南省 - 郑州市,6200
7,Male,22,62,天津市 ,2227
7,Female,23,19,四川省 - 成都市,1425
5,Male,,6,天津市 ,739
7,Male,22,54,内蒙古 - 呼和浩特市,2505
8,Male,22,125,山西省 - 朔州市,3323
5,Female,,8,黑龙江省 - 哈尔滨市,277
6,Female,,14,河南省 - 郑州市,742
8,Male,25,29,河南省 - 郑州市,5524
7,Male,,232,天津市 ,1427
6,Male,,19,,840
8,Male,27,3,广东省 - 深圳市,4172
7,Male,23,8,福建省 - 福州市,2724
8,Female,,52,,3776
7,Male,21,67,天津市 ,2694
8,Male,20,40,山西省 - 太原市,3345
7,Female,18,93,江西省 - 赣州市,2656
6,Female,63,17,陕西省 - 西安市,801
8,Male,22,18,黑龙江省 - 佳木斯市,3388
5,Female,,66,海南省 - 海口市,2178
7,Female,26,32,甘肃省 - 兰州市,1586
6,Male,99,15,广西 - 南宁市,854
5,Female,,12,吉林省 - 白山市,240
6,Male,21,12,山东省 - 济南市,945
9,Female,26,482,北京市 ,10110
8,Male,22,71,江苏省 - 苏州市,3791
7,Male,,75,河北省 - 石家庄市,2481
7,Female,10,33,内蒙古 - 锡林郭勒盟,1510
8,Male,27,115,四川省 - 遂宁市,4025
7,Female,,56,湖北省 - 武汉市,1579
7,Male,29,12,江苏省 - 扬州市,1142
6,Male,22,40,山西省 - 太原市,873
7,Male,,35,广东省 - 广州市,1494
9,Male,31,176,湖北省 - 宜昌市,10542
7,Male,18,15,福建省 - 三明市,1712
7,Female,21,97,山东省 - 青岛市,1301
7,Male,26,19,陕西省 - 渭南市,2590
9,Female,27,244,北京市 ,8902
6,Male,26,153,陕西省 - 西安市,668
8,Male,24,111,北京市 ,4173
7,Female,17,14,江西省 - 新余市,1730
6,Male,,0,湖南省 - 长沙市,991
10,Male,,131,,20267
7,Female,0,11,黑龙江省 - 哈尔滨市,1956
8,Male,,142,,7013
6,Male,,8,辽宁省 - 沈阳市,802
6,Female,,12,广东省 - 惠州市,582
8,Male,23,52,江苏省 - 镇江市,4768
7,Female,,7,湖南省 - 长沙市,1665
6,Male,,11,江西省 - 宜春市,924
6,Female,28,11,北京市 ,419
6,Female,27,79,北京市 ,862
6,Male,21,20,北京市 ,776
7,Male,,2,四川省 - 内江市,1221
8,Female,27,39,福建省 - 宁德市,3092
6,Female,28,119,青海省 - 西宁市,814
6,Female,,37,黑龙江省 - 绥化市,486
6,Female,,10,江西省 - 南昌市,728
8,Female,22,90,宁夏 - 银川市,3196
8,Male,24,41,安徽省 - 合肥市,3874
1,Male,,7,安徽省 - 合肥市,33
6,Male,,26,河南省 - 鹤壁市,811
8,Female,,446,,4675
7,Female,,9,湖北省 - 孝感市,1692
7,Female,28,129,广东省 - 江门市,1508
7,Female,,18,山东省 - 青岛市,1046
7,Female,,55,,2368
6,Male,24,9,云南省 - 昆明市,588
6,Male,30,41,山东省 - 济宁市,1121
7,Male,19,43,山东省 - 临沂市,2692
9,Female,24,257,西藏 - 林芝地区,9712
7,Male,,9,浙江省 - 杭州市,1250
7,Female,,30,湖北省 - 武汉市,1787
6,Male,23,8,河北省 - 石家庄市,639
4,Female,,7,山西省 - 太原市,140
7,Female,27,57,天津市 ,2372
8,Male,28,59,海外 - 美国,3232
8,Male,,9,,4391
8,Male,,35,,5870
8,Male,24,118,广西 - 南宁市,4262
9,Male,28,233,湖北省 - 武汉市,16295
7,Male,22,43,河北省 - 保定市,2986
6,Male,,17,,452
7,Male,,38,辽宁省 - 大连市,2282
9,Male,27,44,浙江省 - 杭州市,9921
7,Male,21,19,山西省 - 大同市,2068
8,Male,21,29,湖北省 - 襄樊市,3722
7,Female,,65,,2720
6,Male,,21,山东省 - 东营市,607
7,Female,22,19,广东省 - 广州市,2112
8,Female,,40,海外 - 德国,4034
8,Female,22,52,海外 - 英国,3571
8,Female,,7,海外 - 希腊,5156
6,Male,,13,山东省 - 淄博市,777
8,Male,,6,广东省 - 广州市,3021
6,Female,3,16,四川省 - 成都市,1168
7,Female,,27,,2880
8,Female,,9,,3264
7,Male,,49,云南省 - 昆明市,1395
8,Male,,68,河北省 - 石家庄市,5162
9,Male,25,110,广东省 - 东莞市,11548
7,Female,22,66,河北省 - 石家庄市,2676
6,Female,15,39,湖南省 - 邵阳市,964
7,Female,,26,陕西省 - 咸阳市,1960
8,Female,,58,,7148
2,Male,,6,辽宁省 - 沈阳市,56
7,Male,,181,甘肃省 - 酒泉市,1410
9,Male,38,12,广东省 - 佛山市,10451
7,Female,,19,山东省 - 济南市,1240
8,Male,25,44,北京市 ,4116
6,Male,18,157,江西省 - 新余市,852
7,Male,,74,河南省 - 平顶山市,1323
7,Female,,49,,2302
8,Male,32,342,北京市 ,5988
7,Female,,109,,1110
4,Male,,8,安徽省 - 合肥市,219
8,Female,24,271,陕西省 - 宝鸡市,3925
8,Male,26,88,北京市 ,4558
6,Male,21,14,山东省 - 临沂市,637
7,Female,22,14,四川省 - 成都市,1705
8,Male,107,44,云南省 - 昆明市,4729
7,Male,1,31,山西省 - 运城市,1334
7,Male,28,91,河北省 - 秦皇岛市,2998
7,Male,19,37,福建省 - 龙岩市,1328
7,Female,,49,海外 - 老挝,2234
7,Male,22,224,浙江省 - 杭州市,1501
8,Female,21,257,江苏省 - 南京市,4999
6,Male,15,18,陕西省 - 西安市,782
6,Male,,17,河南省 - 郑州市,439
8,Male,23,920,河北省 - 保定市,5219
4,Male,18,24,河北省 - 沧州市,130
6,Female,,19,,473
8,Male,32,38,山东省 - 东营市,4287
7,Male,24,8,广东省 - 广州市,2443
9,Male,21,102,陕西省 - 西安市,11093
8,Female,22,21,河南省 - 郑州市,3301
7,Female,23,28,山东省 - 青岛市,1949
7,Female,23,77,江西省 - 上饶市,2169
6,Male,20,11,重庆市 ,999
5,Male,,2,河北省 - 衡水市,270
8,Female,,21,上海市 ,4555
7,Male,26,26,江苏省 - 无锡市,1771
7,Female,,55,,2118
7,Female,17,35,河北省 - 保定市,1629
8,Male,,48,,7417
6,Female,,11,,1405
7,Female,21,25,江苏省 - 南京市,2862
8,Male,,173,,6982
7,Male,20,55,陕西省 - 西安市,1315
7,Male,24,53,河北省 - 衡水市,1060
5,Male,,8,北京市 ,253
8,Male,,15,江苏省 - 南通市,5056
5,Female,23,12,辽宁省 - 锦州市,400
8,Female,22,48,湖北省 - 武汉市,3059
8,Female,,10,,4591
6,Male,,6,河北省 - 唐山市,602
8,Male,19,102,江苏省 - 无锡市,3182
8,Male,19,156,湖北省 - 荆州市,4939
4,Male,,6,四川省 - 泸州市,200
8,Female,22,117,北京市 ,4927
7,Male,25,27,陕西省 - 西安市,1754
8,Female,,13,,4147
8,Male,24,84,浙江省 - 杭州市,5640
7,Female,,16,广东省 - 珠海市,2973
6,Female,,10,内蒙古 - 呼和浩特市,728
8,Male,24,162,湖南省 - 长沙市,3126
7,Male,20,27,山东省 - 济南市,2223
5,Male,,298,,731
7,Female,,108,辽宁省 - 阜新市,2534
7,Male,18,23,河北省 - 邢台市,1530
8,Male,23,82,湖南省 - 株洲市,4676
9,Male,25,1315,浙江省 - 嘉兴市,15492
5,Male,29,76,湖南省 - 长沙市,326
8,Male,22,27,湖北省 - 武汉市,3530
7,Female,,6,河南省 - 郑州市,1522
8,Male,,5,,3827
7,Male,,49,山西省 - 大同市,1505
8,Female,,14,河南省 - 信阳市,3619
8,Male,,13,河南省 - 开封市,3471
7,Female,,59,北京市 ,1948
6,Male,33,89,吉林省 - 长春市,715
8,Male,24,188,江苏省 - 盐城市,3697
6,Female,19,21,河南省 - 郑州市,888
6,Female,,36,内蒙古 - 鄂尔多斯市,657
6,Male,,6,山东省 - 青岛市,471
8,Female,23,94,广西 - 南宁市,4125
6,Male,,7,广东省 - 广州市,724
9,Male,99,28,北京市 ,11876
6,Male,,29,安徽省 - 安庆市,461
6,Female,93,5,北京市 ,755
8,Male,22,76,福建省 - 南平市,4098
8,Female,,46,,4799
7,Male,,386,河南省 - 洛阳市,2734
8,Female,21,215,广东省 - 潮州市,5538
7,Male,23,13,广东省 - 广州市,2256
5,Male,16,23,四川省 - 自贡市,369
9,Male,28,20,湖北省 - 武汉市,8485
7,Male,,8,山西省 - 太原市,2397
6,Female,,19,吉林省 - 吉林市,473
8,Female,,65,,3242
7,Female,,128,,2064
8,Male,,20,,3531
8,Female,16,109,江苏省 - 苏州市,5559
7,Male,22,152,山东省 - 滨州市,2633
9,Male,20,20,河南省 - 商丘市,10429
7,Male,,335,海外 - 韩国,2524
6,Female,,6,江苏省 - 无锡市,2534
9,Female,29,40,北京市 ,8080
6,Male,27,16,北京市 ,751
8,Female,22,711,江苏省 - 南京市,4843
7,Male,,16,四川省 - 成都市,2319
8,Male,24,43,新疆 - 阿克苏地区,6450
8,Male,26,94,重庆市 ,5453
6,Male,,14,山东省 - 济南市,976
5,Female,,12,,337
8,Female,,23,广东省 - 广州市,3428
8,Male,,79,,4866
7,Male,27,151,江苏省 - 苏州市,2162
8,Male,27,43,四川省 - 成都市,3393
6,Male,,7,江苏省 - 南京市,602
9,Male,26,7,湖南省 - 长沙市,8632
7,Male,23,8,广东省 - 广州市,1640
7,Male,,283,陕西省 - 西安市,1795
7,Male,,47,,2700
8,Female,,67,,3540
7,Male,,17,,1297
7,Male,,6,北京市 ,1334
9,Male,25,290,河南省 - 郑州市,10817
7,Female,1,29,湖北省 - 武汉市,1525
7,Male,20,17,北京市 ,2886
7,Male,21,48,江苏省 - 泰州市,1273
7,Male,25,6,四川省 - 成都市,1416
7,Female,,4,辽宁省 - 沈阳市,2491
8,Male,23,40,浙江省 - 嘉兴市,7061
8,Male,,35,黑龙江省 - 哈尔滨市,5197
9,Male,24,150,北京市 ,11917
7,Male,23,25,山东省 - 济南市,1478
8,Male,23,53,江苏省 - 南京市,4635
9,Female,22,74,辽宁省 - 大连市,12993
7,Female,,7,山西省 - 大同市,1721
6,Female,,18,海外 - 冰岛,676
9,Male,,180,,16989
7,Male,,59,北京市 ,1882
9,Male,23,161,上海市 ,12458
6,Female,,32,江苏省 - 南京市,763
8,Male,,29,宁夏 - 银川市,4371
8,Male,,24,河北省 - 石家庄市,4692
9,Female,24,22,浙江省 - 杭州市,9887
7,Female,28,12,湖南省 - 株洲市,1153
7,Male,23,7,海外 - 俄罗斯,2237
7,Female,23,140,山东省 - 潍坊市,1921
8,Male,19,65,云南省 - 保山市,3056
1,Male,,8,河北省 - 邯郸市,66
