rank,gender,age,follows,region,listen_count
8,Female,26,12,广东省 - 深圳市,5638
8,Male,23,71,山西省 - 太原市,3377
7,Female,,75,浙江省 - 嘉兴市,2624
7,Female,,65,山西省 - 太原市,1074
6,Female,21,29,山西省 - 运城市,647
6,Male,23,16,浙江省 - 温州市,839
9,Male,,106,,8449
7,Male,20,28,河南省 - 郑州市,2182
8,Male,,55,海外 - 德国,3097
5,Female,21,3,江苏省 - 无锡市,368
7,Female,,46,,2227
7,Male,,191,,2937
8,Male,21,175,浙江省 - 金华市,4125
8,Female,19,55,河北省 - 石家庄市,3554
7,Female,29,6,广东省 - 东莞市,1302
8,Female,,6,,3411
8,Female,22,18,北京市 ,4397
8,Male,6,15,山东省 - 济南市,3311
8,Male,,83,北京市 ,3541
9,Female,22,87,海外 - 其它,20038
7,Female,,35,,1169
7,Male,27,443,山东省 - 枣庄市,2583
7,Male,28,10,安徽省 - 芜湖市,1010
7,Male,,8,辽宁省 - 大连市,2541
6,Male,,83,云南省 - 昆明市,899
5,Male,35,18,江苏省 - 南京市,324
6,Male,21,4,河南省 - 商丘市,1951
3,Female,,19,河北省 - 承德市,110
6,Male,19,30,北京市 ,743
7,Female,28,28,辽宁省 - 沈阳市,2912
8,Male,27,22,江苏省 - 南京市,4623
7,Male,27,69,湖北省 - 武汉市,2401
6,Female,20,47,四川省 - 成都市,990
8,Male,,97,,3522
5,Male,25,36,河北省 - 秦皇岛市,365
5,Female,28,32,江苏省 - 泰州市,231
9,Male,26,21,山东省 - 济宁市,8467
8,Female,,28,,3930
8,Male,19,31,河南省 - 焦作市,3237
7,Male,22,24,四川省 - 达州市,1487
6,Male,29,57,山东省 - 济南市,701
7,Female,20,137,安徽省 - 安庆市,2805
5,Female,,29,,381
5,Female,,73,,1213
8,Female,,19,四川省 - 成都市,3327
8,Male,21,19,四川省 - 成都市,3220
8,Female,,45,四川省 - 乐山市,3728
7,Female,21,37,广东省 - 韶关市,1331
6,Male,,8,北京市 ,728
6,Male,22,21,新疆 - 乌鲁木齐市,917
6,Male,,30,山西省 - 太原市,584
8,Male,97,143,河南省 - 郑州市,5408
7,Male,24,16,海外 - 意大利,1204
0,Male,,6,湖北省 - 随州市,7
7,Female,,1,,2147
7,Female,21,70,重庆市 ,2494
8,Male,20,89,山东省 - 青岛市,7035
8,Male,22,67,河南省 - 商丘市,5366
8,Male,20,144,山东省 - 潍坊市,3197
8,Female,25,357,河北省 - 石家庄市,6594
7,Male,,16,山东省 - 潍坊市,1229
3,Female,,14,,95
7,Male,20,30,北京市 ,2915
4,Female,,45,广西 - 南宁市,136
7,Female,20,37,山东省 - 临沂市,2498
7,Male,20,131,云南省 - 曲靖市,2281
8,Male,,118,江苏省 - 徐州市,5222
4,Female,21,155,云南省 - 大理白族自治州,183
7,Female,22,42,四川省 - 成都市,2115
8,Female,24,25,福建省 - 厦门市,4724
7,Female,19,247,香港 ,3006
8,Female,20,318,安徽省 - 合肥市,4179
7,Male,25,21,贵州省 - 贵阳市,2091
8,Male,26,277,福建省 - 福州市,5212
9,Male,,69,,11356
7,Male,19,8,浙江省 - 衢州市,2579
4,Female,20,15,江西省 - 赣州市,166
4,Female,,13,河北省 - 承德市,184
8,Female,25,50,湖北省 - 武汉市,4400
7,Female,,42,,1981
6,Male,19,40,浙江省 - 杭州市,972
8,Female,,146,,4197
6,Female,,13,安徽省 - 宣城市,523
7,Female,20,67,重庆市 ,1406
3,Male,,12,四川省 - 宜宾市,119
6,Male,26,0,北京市 ,2093
7,Male,22,4,江西省 - 抚州市,6178
8,Female,23,25,云南省 - 昆明市,3423
6,Female,,9,辽宁省 - 大连市,840
7,Male,,14,辽宁省 - 大连市,2904
5,Male,,4,天津市 ,372
7,Male,,8,山东省 - 济南市,2679
6,Male,36,10,四川省 - 成都市,629
7,Male,20,23,山东省 - 泰安市,1515
8,Male,23,33,安徽省 - 宿州市,3075
8,Male,21,83,河北省 - 廊坊市,3278
6,Female,,60,,661
3,Female,,8,河北省 - 沧州市,91
7,Female,,50,北京市 ,2384
8,Female,,21,,3593
6,Male,,24,河南省 - 驻马店市,611
8,Female,,21,,4139
6,Female,22,10,四川省 - 雅安市,796
8,Male,,213,,7409
7,Male,,184,湖南省 - 株洲市,1412
7,Male,22,68,安徽省 - 安庆市,2234
7,Female,28,208,甘肃省 - 兰州市,1789
5,Female,,6,山西省 - 大同市,610
7,Female,,24,,2621
7,Male,20,108,山东省 - 济南市,1192
8,Female,,32,海外 - 加拿大,6580
7,Male,,14,江苏省 - 徐州市,1273
9,Female,28,43,江苏省 - 南京市,9112
8,Female,,30,河南省 - 郑州市,3054
7,Male,,107,,1265
7,Male,,28,,1623
7,Male,25,59,山东省 - 济南市,2304
8,Male,24,67,江西省 - 宜春市,3862
7,Male,27,57,甘肃省 - 兰州市,2055
7,Female,20,28,湖南省 - 长沙市,1052
7,Male,28,12,安徽省 - 合肥市,1639
7,Female,31,13,北京市 ,1209
7,Female,18,5,安徽省 - 芜湖市,1876
6,Female,23,10,河南省 - 郑州市,881
2,Female,,8,山东省 - 济南市,48
5,Male,,9,湖北省 - 武汉市,276
10,Female,,443,,20253
8,Female,27,25,上海市 ,3047
7,Female,25,24,福建省 - 福州市,1048
7,Male,17,59,广西 - 贵港市,1418
8,Male,28,51,湖北省 - 武汉市,8977
5,Female,,10,北京市 ,248
8,Female,23,170,山东省 - 济南市,3903
7,Male,,113,黑龙江省 - 哈尔滨市,1995
8,Male,0,159,贵州省 - 遵义市,3588
8,Female,24,202,海外 - 其它,3391
7,Female,,27,,2721
7,Female,,40,安徽省 - 亳州市,2252
8,Male,21,69,广东省 - 广州市,3381
7,Female,20,53,河南省 - 安阳市,1239
7,Female,,24,广东省 - 东莞市,1330
8,Male,,93,云南省 - 文山壮族苗族自治州,4069
6,Female,22,25,山西省 - 长治市,932
6,Male,28,26,北京市 ,501
9,Male,23,8,海外 - 美国,10126
8,Male,23,97,湖北省 - 武汉市,3763
9,Male,,90,,10538
8,Female,28,61,安徽省 - 滁州市,3514
7,Female,21,129,河北省 - 秦皇岛市,2338
8,Male,28,102,湖南省 - 长沙市,4095
7,Female,,10,山东省 - 济宁市,1253
5,Female,,19,安徽省 - 六安市,467
7,Female,,9,云南省 - 昭通市,1579
7,Female,,13,天津市 ,1739
5,Female,18,29,云南省 - 红河哈尼族彝族自治州,285
6,Male,28,8,江西省 - 九江市,599
7,Male,23,24,广东省 - 揭阳市,1968
7,Male,27,25,福建省 - 泉州市,2463
8,Male,,87,北京市 ,3226
8,Male,,241,,7736
7,Female,,20,河南省 - 郑州市,1291
9,Male,23,164,天津市 ,8416
7,Female,23,34,云南省 - 大理白族自治州,1088
6,Male,25,20,上海市 ,872
6,Male,21,55,江西省 - 南昌市,958
9,Female,,26,广东省 - 深圳市,10273
8,Male,22,163,江苏省 - 徐州市,6434
7,Male,23,5,黑龙江省 - 哈尔滨市,1737
9,Male,24,180,辽宁省 - 沈阳市,8598
7,Female,22,48,重庆市 ,1544
6,Female,22,46,江苏省 - 宿迁市,982
7,Male,29,25,湖南省 - 长沙市,2444
7,Female,,4,上海市 ,1984
8,Male,21,96,河南省 - 平顶山市,4000
6,Male,,2,北京市 ,952
7,Female,,270,,2843
4,Male,,13,浙江省 - 杭州市,151
7,Male,20,44,浙江省 - 嘉兴市,2540
8,Female,24,136,山东省 - 济南市,5897
5,Female,,6,江苏省 - 常州市,388
7,Male,25,28,河北省 - 石家庄市,2063
6,Female,26,122,山东省 - 潍坊市,769
7,Male,,5,,2855
7,Female,,23,河南省 - 南阳市,1894
8,Female,,114,,3689
8,Female,26,51,辽宁省 - 大连市,7188
7,Male,,11,浙江省 - 湖州市,1637
5,Female,19,35,江西省 - 赣州市,508
8,Female,,126,,3198
7,Female,19,162,河北省 - 保定市,2331
9,Female,,125,,10185
7,Male,,10,北京市 ,1395
8,Female,20,202,天津市 ,3224
6,Female,,158,,867
8,Male,26,195,陕西省 - 渭南市,6249
9,Male,28,134,河南省 - 郑州市,15608
7,Male,22,68,甘肃省 - 兰州市,1046
8,Female,26,20,山东省 - 济南市,3494
8,Female,,27,,7314
6,Male,,13,天津市 ,2264
7,Male,21,90,云南省 - 红河哈尼族彝族自治州,1695
7,Male,18,75,陕西省 - 西安市,1811
6,Female,,34,,567
7,Male,22,22,四川省 - 成都市,2049
