用户ID,评论时间,点赞总数,评论内容
"1363958408,2018-02-06 22:23:27,2,2017年国庆，一个人从厦门来到北京，特意去看了一下鼓楼，还看到了107路。原来以前来过这里，和同学一起纯粹去玩去的，只是当时还没有出现这首歌，沿着巷子走，因为雷子就住在这附近+"
"512327017,2018-02-06 21:21:08,0,突然就洒脱了+"
"249135182,2018-02-06 21:06:31,0,因为他认识你，+"
"302333741,2018-02-06 20:25:44,1,看了大冰写的书  来听这首歌的+"
"365443215,2018-02-06 20:12:51,1,我们学校晚会有一个乐队演奏了这首歌，那时候没听过。你不会知道烟酒嗓，比较嘶哑的人唱出来，多么好听，然后就去搜了原唱来听，怎么说吧，我觉得原唱还没我同学唱的好听(ง •̀_•́)ง+"
"517246559,2018-02-06 18:56:49,1,不知道你现在还好吗+"
"440189713,2018-02-06 18:22:31,3,世界这么俗做自己太难+"
"414980802,2018-02-06 17:06:43,0,加油姐姐，只要心态好，没什么过不去的坎儿[强]+"
"261977710,2018-02-06 16:54:01,2,为了大学的义工小时报名当了志愿者 2018.2.3 放肆一下风云盛典 当时是因为这场缺志愿者 我呢 又正好没事就报名了 站在二楼左边的站台 沉醉在赵雷的三首歌中 想给他颁个全场最帅奖+"
"437235264,2018-02-06 13:41:26,0,不管天大的事儿，听到这首，雨后的阳光散落，太阳都出来了，然后对生活的希望一下就冲破雾霾，它的旋律让人相信美好。+"
"101940695,2018-02-06 13:03:43,3,It's never rain in Southern California  +"
"569677648,2018-02-06 12:45:25,0,对过往说晚安+"
"115398392,2018-02-06 12:26:11,3,听雷子的歌时我觉得我是这个世界上最酷的+"
"115398392,2018-02-06 12:24:58,1,好巧+"
"91836768,2018-02-06 11:48:57,1,好爱好爱你+"
"499330210,2018-02-06 11:42:48,1,好爱好爱这首歌+"
"443255037,2018-02-06 11:21:23,0,跟我老妈喜欢同一首歌哎*^_^*+"
"513833970,2018-02-06 10:00:11,7,喜欢听民遥的女孩都很温柔，但我身边没有一个，愿生活对你们也温柔点。+"
"298905390,2017-03-04 22:01:17,6,赵雷的歌是一杯茶要慢慢品，越听越好听。+"
"37070958,2017-03-04 21:57:09,3,好的呀+"
"103008446,2017-03-04 21:38:02,4,打卡+"
"41902171,2017-03-04 21:24:03,2,真是温暖我整个春天的小哥[呆]+"
"89587293,2017-03-04 21:18:24,6,嗨，我也在。+"
"405729710,2017-03-04 21:12:28,3,去过北京可没去过鼓楼+"
"405837070,2017-03-04 21:10:32,7,我是个沉默不语的……  一切甜蜜与我无关。 高三党心里苦 听雷子的歌很扎心。+"
"41902171,2017-03-04 20:38:27,7,3月4号下午，在鼓楼下有个唱鼓楼的小哥，当我正要走的时候，他从人群出来，拿起那把红色的吉他，唱起了我一直等的鼓楼，修长的手指扫着弦，配着青涩认真的笑脸，被阳光围绕的男孩，完了完了，心化了~+"
